Text,Date,Hashtags
"JUST IN: Robinhood Chief Operating Officer for Crypto, Christine Brown, has left the firm to start her own crypto venture.",03/31/2022,#crypto
Are you planning on becoming a millionaire this year from crypto?,03/26/2022,#crypto
"Be the first to know about our EXCLUSIVE nft collection! 📛
It's gonna be SUPER mind-blowing as, there’s a SUPER artist behind it!📌
📝We are hitting the market with a SUPER merger!
More details soon. 
Stay TUNED for updates",03/31/2022,#NFTart #crypto #NFTcommunity #giveaway #whitelist
"On April 1, 2022 India will begin taxing all Bitcoin and crypto income at 30%.",03/30/2022,#Bitcoin #crypto
"To close out BlackHistoryMonth, we continue to celebrate & educate our fans on the rich legacy of HBCU’s & the importance of Black Sororities & Fraternities, brought to you through the words of Portland area fans.
",02/28/2022,#BlackHistoryMonth
HBCUs are institutions established prior to 1964 with the principal mission of educating Black Americans.,02/28/2022,#BlackHistoryMonth
"""No matter where you come from or what walk of life you live, I think it's important that everybody is treated equally. We are more the same than what people actually think or see.""

@GeorgesNiang20
 speaks on the importance of equality in honor of BlackHistoryMonth",02/23/2022,#BlackHistoryMonth
"“My job isn’t to make people see that Black is beautiful, but to rather help them see that beauty that’s already there.”

In honor of BlackHistoryMonth , today’s Black 🎨 Spotlight is local artist 
@temi_coker
. Learn more ⬇️
",02/22/2022,#BlackHistoryMonth
".
@shaunwhite
 honoring the late Virgil Abloh with a custom Louis Vuitton snowboard at the Olympics 🙏
",02/06/2022,#Olympics
"In celebration of this year’s TitleIX50 anniversary, we’re shining a light on these women who made herstory at the WinterGames 🙌 ",03/31/2022,#TitleIX50 #herstory #WinterGames #womenshistorymonth #titleix #olympics #paralympics #LA28
"BEIJING, CHINA - FEBRUARY 15: YelimKIM 🇰🇷 competes in the Figure Skating Women’s Short Program on Day 11 of the Beijing 2022 Winter Olympic Games at Capital Indoor Stadium. (Photo - Danielle Earl/Danielle Earl Event Media)",03/31/2022,#YelimKIM #Beijing2022 #Olympics #FigureSkating
"Czech Republic bounces Team USA from men’s hockey tournament in a shootout, eliminating them from the Olympics",02/21/2018,#Olympics
"Existing liquidity aggregators cannot solve these problems:

High latency, which leads to
* Thin volume across trading pairs
* Wide spreads
* Poor price discovery

We are building FLUID to solve exactly these issues.",03/28/2022,#FLUID #DeFi #Crypto #FinTech
"Steph Curry Sells 3,000 Pairs of NFT Sneakers for $333 Each. (TIME) ",03/31/2022,#NFTs #FinTech 
"It's time. 

DeFi will never be the same again.

After more than 1.5 years in the making, thousands of hours of building, and the contribution of dozens of the brightest minds in blockchain...

Spool is ready to launch.

March 30. 12pm UTC.",03/29/2022,#DeFi #fintech #YieldFarm #fintechnews
"Release fest on my birthday: v14.9.0 of the award-winning 
@Nordnet
 app rollin’ out with the first of many “widgets” showing your portfolio’s top movers for the day. 

Phased roll-out as usual but iOS users can force an update in AppStore.
",03/30/2022,#alwaysbeshipping #app #firefly #fintech
Kool Moe Dee was never seen without his trademark shades🕶️. Name another rapper who always wore a particular item besides him and Slick Rick,03/31/2022,#hiphop
"Nipsey Hussle's legacy still lives on 3 years later, for his community initiatives, to inspire young black men by, denouncing gang culture & gun violence through his music, influence & community work.",03/31/2022,#NipseyHussle #OffThePress #KeepItKiss #Nipsey #Hiphop #Rap #Throwback #Legend #Icon
"It's been a long time since I released NEW ALBUM. Finally - it's ready. I hope you still enjoy our Hip Hop RoyaltyFree  beats. Feel free to use them in your vlogs , videos and streams -  Copyright Free. https://open.spotify.com/playlist/5GQJyY1QrcjDkw5zUvI7tE?si=b4121b5f015c4122",03/31/2022,#spotify #music #HipHop #copyrightfree
"OG MUSIC NFTS are becoming more real than i thought lol 🔥🔥👀

https://opensea.io/collection/gwapstars",03/31/2022,#NFTs #MusicNFT #nftmusic #instrumentals #OpenSeaNFT #opensea #hiphop #rapartist #lofi #OGmusicnft #gwapstars #percygwap
Joan Collins says 'young men are suffering' from a rise of 'anti-maleness' in the wake of MeToo,03/31/2022,#MeToo
"Salman Khan’s ex-gf shared a post about ‘The Harvey Weinstein of Bollywood’—along with a still from Maine Pyar Kiya on Instagram & later deleted it. 

Hope the girls share the truth. 

If it ever comes out, it can be world’s biggest MeToo movement. Even for the LGBT community.",03/30/2022,#MeToo
The MeToo era has done a dangerous thing by blurring the lines between acceptable and unacceptable behaviours. Everybody knew that unwanted groping was wrong. But now so are unwanted jokes and compliments. This makes women less safe,03/29/2022,#MeToo
"Ok … sexually harassing male actors on the Oscar stage is just not funny. Full stop. The MeToo movement wasn’t launched so women could imitate the same sleazy crap of the patriarchy. 😠😡🤬 Ugh! 🤮
",03/31/2022,#Oscars #MeToo
"26 years ago this month, a group of musicians entered EGREM's Areito studios in Havana to begin recording 'Buena Vista Social Club'. Little did they know that what they would produce would become loved by millions of people around the world.   
📸 - Susan Titelman",03/31/2022,#BVSC #music
Someone asked me earlier today what my favorite song of all time is! And I really don't know - going to have to think about that for a while. What is your favorite song?,03/30/2022,#photo #photograghy #naturelover #NatureBeauty #music
"Was kinda sad to see that Music🎶 channel in @projectPXN was being used mainly for bot commands and all that. This is just a small attempts of me trying to build something for the musician rats around the server. 
LFG 
@dexd0x @rodney_eth @Pants_shh @Nanophant11 @Arkaiju",03/31/2022,#Music
"Jim Croce has been honored by the Pennsylvania Historical & Museum Commission with a historical marker. The plaque, installed on Mar. 30, 2022, formally marks the barn in Lyndell, PA, where he wrote his songs.",03/31/2022,#Music
"Mr. Jaishankar said it was “natural for countries to go out in the market and look for good deals” when oil prices go up, as they had in the past month since Russia’s war in Ukraine and the U.S.,U.K. and EU sanctions were placed on Russia.",03/31/2022,#Ukraine #Russia
This is the Belarusian battalion named after Kastus Kalinouski in Ukraine. Belarusian heroes who are helping Ukrainians defend themselves. I have friends there and I know that these people are ready to risk their lives to protect both Ukraine and Belarus,03/31/2022,#Ukraine #Belarus
"The head of Chechnya republic Kadyrov desperately wants people to think he is fighting in Ukraine. First, he lied about being near Kyiv when he was seen in Chechnya. Now he says is in Mariupol and posts this picture, not realizing, but there are no Rosneft stations in Ukraine.",03/29/2022,#Ukraine #Kyiv
This is not the time to get used to the horrors of war.,03/31/2022,#FreeUkraine #WeAreAllUkrainians #StandWithUkraine #StopTheWar #Ukraine #United #Kyiv #StandTogether #StopWar
